sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_average	fraction_average	Ribosomes	CHX	strain
Total_OE3_+CHX	55	1621	0.00270517437610769	2731	0.0034720191615792	2176	0.00308859676884344	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	56	1365	0.00227795374669154	2295	0.00291771657847831	1830	0.00259783516258493	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	57	1410	0.0023530511229561	2896	0.0036817896345417	2153	0.0030174203787489	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	58	3817	0.00636992633781804	7185	0.00913455059536674	5501	0.00775223846659239	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	59	6844	0.0114214765145472	9370	0.0119124201918701	8107	0.0116669483532086	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	60	6645	0.0110893792283995	6921	0.00879891783862675	6783	0.00994414853351312	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	61	5557	0.00927369155338088	5935	0.00754538034565089	5746	0.00840953594951589	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	62	7250	0.0120990217315119	8050	0.0102342564081701	7650	0.011166639069841	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	63	5648	0.00942555513649365	4723	0.00600452087152639	5185.5	0.00771503800401002	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	64	2888	0.00481958272560086	1825	0.00232018856458515	2356.5	0.00356988564509301	Total	+	FLAG-UPF1 UPF2/UPF3 EE
IP_FLAG-Upf1_+CHX	15	27528	0.0130064706340938	28193	0.0199678169190649	27860.5	0.0164871437765794	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	16	28204	0.0133258681256895	29975	0.0212299262990448	29089.5	0.0172778972123672	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	17	24980	0.011802587781156	27036	0.0191483665528266	26008	0.0154754771669913	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	18	19114	0.00903101132301906	23663	0.0167594243874662	21388.5	0.0128952178552426	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	19	15517	0.00733149538031217	22690	0.0160702928348733	19103.5	0.0117008941075927	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	20	15648	0.00739339045634625	22263	0.0157678681966851	18955.5	0.0115806293265157	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	21	17716	0.0083704821909912	21854	0.0154781921380926	19785	0.0119243371645419	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	22	19452	0.00919071006881693	23044	0.0163210149002565	21248	0.0127558624845367	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	23	16728	0.00790367047250512	19990	0.0141580058955098	18359	0.0110308381840075	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	24	14393	0.00680042617830979	19560	0.0138534564940556	16976.5	0.0103269413361827	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	25	15650	0.00739433541933914	22875	0.0162013199029408	19262.5	0.01179782766114	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	26	16385	0.00774160931922504	23579	0.0166999310160193	19982	0.0122207701676222	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	27	21182	0.010008103057664	30587	0.0216633780053006	25884.5	0.0158357405314823	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	28	70891	0.0334946857643688	111878	0.0792380882230038	91384.5	0.0563663869936863	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	29	197011	0.0930840520958098	219816	0.155685654023381	208413.5	0.124384853059595	IP	+	FLAG-UPF1
IP_FLAG-Upf1_+CHX	30	236507	0.111745181279338	161522	0.114398670748101	199014.5	0.113071926013719	IP	+	FLAG-UPF1
