size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_rep3	fraction_rep3	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo	CHX
M	Total_Upf1-FLAG	43	Distance from start (nt)	6094	0.000663314537244502	4298	0.000470394376105804	2963	0.00038837481328386	13355	0.000514575391305591	4451.66666666667	0.000507361242211389	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	44	Distance from start (nt)	1566	0.000170454638222004	1037	0.000113494408567175	671	8.79512317628992e-05	3274	0.000126148995217859	1091.33333333333	0.000123966759517359	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	45	Distance from start (nt)	25611	0.00278768438027058	18566	0.00203195485965109	14872	0.00194934533349901	59049	0.00227518998736083	19683	0.00225632819114023	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	46	Distance from start (nt)	6345	0.000690635172106394	3814	0.000417423022444751	2770	0.000363077365101685	12929	0.000498161380321227	4309.66666666667	0.000490378519884276	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	47	Distance from start (nt)	3313	0.000360610610746806	1643	0.000179818045589073	976	0.000127929064382399	5932	0.000228563176430158	1977.33333333333	0.000222785906906093	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	48	Distance from start (nt)	45880	0.0049939072807315	24401	0.00267056611711441	23203	0.00304133000088607	93484	0.00360198920859692	31161.3333333333	0.00356860113291066	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	49	Distance from start (nt)	6253	0.000680621234228728	3264	0.000357228302375371	2347	0.000307632698878576	11864	0.000457126352860317	3954.66666666667	0.000448494078494225	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	50	Distance from start (nt)	1677	0.000182536671965709	984	0.000107693826451399	571	7.48437456581452e-05	3232	0.000124530712444753	1077.33333333333	0.000121691414691751	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	51	Distance from start (nt)	22263	0.00242326411924423	15827	0.00173218515370558	12438	0.0016303091217093	50528	0.00194687123713133	16842.6666666667	0.00192858613155304	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	52	Distance from start (nt)	6245	0.000679750457021975	4291	0.00046962826148674	2896	0.000379592797593675	13432	0.000517542243056286	4477.33333333333	0.00050965717203413	UPF1-FLAG	Total	+CHX
