Sample	bin	fraction_ave	size	strain	Ribosomes
Total_FLAG-Upf1_CHX-	8	0.00657576951085977	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	9	0.0066678891418918	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	10	0.00789812931516258	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	12	0.00801488981884325	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	13	0.00842694917069056	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	20	0.00834006514209379	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	21	0.0101670910558126	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	27	0.00928394026486655	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	39	0.00998329511904806	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	40	0.0126196222727197	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	46	0.0103785262951388	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	51	0.0113994755024262	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	52	0.0123638878572735	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	54	0.0102527148579254	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	56	0.0104771878923932	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	58	0.0118810706404244	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	59	0.010571454489733	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	60	0.0126920457203215	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	64	0.0123932392366372	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	66	0.0107105483195523	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	68	0.0115744489453326	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	76	0.0134946663144683	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	82	0.011525866519232	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	89	0.0101073268876613	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	28	0.0104725399484453	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	62	0.0108281796729412	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	72	0.0106882340226178	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	7	0.00608341441239073	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	25	0.00817035458817116	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	31	0.0111590151623966	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	33	0.00906509220960972	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	42	0.00922117748835283	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	48	0.0111354682824256	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	65	0.0110633960639665	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	73	0.0121416926574765	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	91	0.0124348306283869	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	67	0.00929090948782351	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	79	0.0118122339950208	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	94	0.0117635156715263	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	4	0.00509166973676365	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	14	0.00896432188290527	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	24	0.0101083663964667	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	43	0.0125607074997818	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	86	0.0112614292603072	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	0	0.00214673145203074	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	6	0.00576793485799739	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	16	0.00823740070389012	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	69	0.0112798222190389	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	71	0.0108502842025064	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	84	0.0114378722509432	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	90	0.0113783177609365	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	99	0.00579371325688659	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	30	0.0102286319319249	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	29	0.0107030947522483	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	11	0.00768191804571515	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	19	0.0092313386615776	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	38	0.00967606377562561	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	100	4.93389221344528e-05	S	FLAG-UPF1	Total
Total_WT_CHX-	99	0.00623669776263407	M	WT + EV	Total
Total_WT_CHX-	40	0.0102041439452022	M	WT + EV	Total
Total_WT_CHX-	57	0.0124130395827282	M	WT + EV	Total
Total_WT_CHX-	79	0.0118852012835938	M	WT + EV	Total
Total_WT_CHX-	42	0.00868984761310175	M	WT + EV	Total
Total_WT_CHX-	50	0.0102890197443019	M	WT + EV	Total
Total_WT_CHX-	0	0.00566515415256437	M	WT + EV	Total
Total_WT_CHX-	28	0.0104846750693305	M	WT + EV	Total
Total_WT_CHX-	86	0.0104052658846928	M	WT + EV	Total
Total_WT_CHX-	64	0.0128219114271584	M	WT + EV	Total
Total_WT_CHX-	78	0.0104432687368785	M	WT + EV	Total
Total_WT_CHX-	96	0.0105727035604781	M	WT + EV	Total
Total_WT_CHX-	21	0.00949585925766411	M	WT + EV	Total
Total_WT_CHX-	48	0.00963858606439478	M	WT + EV	Total
Total_WT_CHX-	68	0.0102804628079481	M	WT + EV	Total
Total_WT_CHX-	82	0.010612375504459	M	WT + EV	Total
Total_WT_CHX-	97	0.010084934174245	M	WT + EV	Total
Total_WT_CHX-	13	0.0101936616078825	M	WT + EV	Total
Total_WT_CHX-	2	0.00398418160022525	M	WT + EV	Total
Total_WT_CHX-	4	0.00506067733585061	M	WT + EV	Total
Total_WT_CHX-	5	0.00505924311283634	M	WT + EV	Total
Total_WT_CHX-	6	0.00612807753094539	M	WT + EV	Total
Total_WT_CHX-	8	0.00724278954714759	M	WT + EV	Total
Total_WT_CHX-	9	0.00848140999676361	M	WT + EV	Total
Total_WT_CHX-	10	0.00816485631960609	M	WT + EV	Total
Total_WT_CHX-	11	0.0101737595297533	M	WT + EV	Total
Total_WT_CHX-	12	0.00848552912527711	M	WT + EV	Total
Total_WT_CHX-	14	0.00793858268585428	M	WT + EV	Total
Total_WT_CHX-	15	0.00840732124588599	M	WT + EV	Total
Total_WT_CHX-	16	0.00871186708019825	M	WT + EV	Total
Total_WT_CHX-	17	0.00898291121582781	M	WT + EV	Total
Total_WT_CHX-	19	0.00951687135852861	M	WT + EV	Total
Total_WT_CHX-	22	0.00953786104349673	M	WT + EV	Total
Total_WT_CHX-	23	0.012765573907642	M	WT + EV	Total
Total_WT_CHX-	24	0.00902367076664752	M	WT + EV	Total
Total_WT_CHX-	25	0.00827766649743645	M	WT + EV	Total
Total_WT_CHX-	26	0.00826632038015435	M	WT + EV	Total
Total_WT_CHX-	27	0.00951753860504403	M	WT + EV	Total
Total_WT_CHX-	32	0.0102932301553268	M	WT + EV	Total
Total_WT_CHX-	33	0.00945749386986546	M	WT + EV	Total
