sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_rep3	fraction_rep3	count_average	fraction_average	Ribosomes	CHX	strain
IP_Upf1-FLAG	28	208142	0.164359050084255	992051	0.222987729112608	795725	0.280220577411628	665306	0.222522452202831	IP	+	UPF1-FLAG
IP_Upf1-FLAG	29	295132	0.233050586472055	1338978	0.300968058649951	800756	0.281992282114833	811622	0.27200364241228	IP	+	UPF1-FLAG
IP_Upf1-FLAG	30	142763	0.112732610752172	561785	0.126274920744525	246166	0.0866892188370489	316904.666666667	0.108565583444582	IP	+	UPF1-FLAG
IP_Upf1-FLAG	31	50518	0.0398914706890316	148218	0.0333156211057825	58841	0.0207213032083667	85859	0.0313094650010603	IP	+	UPF1-FLAG
IP_Upf1-FLAG	32	22976	0.0181429674680548	60371	0.0135698590034759	27367	0.00963749604703135	36904.6666666667	0.0137834408395207	IP	+	UPF1-FLAG
IP_Upf1-FLAG	33	16618	0.0131223813276521	42018	0.00944457331513559	25726	0.00905960548492449	28120.6666666667	0.0105421867092374	IP	+	UPF1-FLAG
IP_Upf1-FLAG	34	16217	0.0128057322175071	38688	0.00869607435898819	24088	0.00848277139550886	26331	0.0099948593240014	IP	+	UPF1-FLAG
IP_Upf1-FLAG	35	14129	0.0111569458285231	34268	0.00770257124001777	21981	0.00774077540869646	23459.3333333333	0.00886676415907909	IP	+	UPF1-FLAG
IP_Upf1-FLAG	36	13076	0.0103254457961475	44126	0.00991839787956764	30522	0.0107485531606494	29241.3333333333	0.0103307989454548	IP	+	UPF1-FLAG
IP_Upf1-FLAG	37	16204	0.0127954667850087	84268	0.0189412943052941	60565	0.0213284228482645	53679	0.0176883946461891	IP	+	UPF1-FLAG
IP_Upf1-FLAG	38	20024	0.0158119246422497	107961	0.0242668756170059	78179	0.027531326176083	68721.3333333333	0.0225367088117795	IP	+	UPF1-FLAG
IP_Upf1-FLAG	39	40190	0.0317359793933287	175528	0.0394542116440364	125117	0.0440608979031834	113611.666666667	0.0384170296468495	IP	+	UPF1-FLAG
IP_Upf1-FLAG	40	72820	0.0575022149644737	163496	0.0367497253256083	96399	0.0339476369875315	110905	0.0427331924258712	IP	+	UPF1-FLAG
IP_Upf1-FLAG	41	62766	0.0495630873998923	71774	0.0161329621857428	33061	0.0116426812149999	55867	0.025779576933545	IP	+	UPF1-FLAG
IP_Upf1-FLAG	42	43072	0.0340117468133729	25920	0.00582615403703923	10896	0.00383710881457425	26629.3333333333	0.0145583365549954	IP	+	UPF1-FLAG
IP_Upf1-FLAG	43	22721	0.0179416070613541	10475	0.00235451248217539	4824	0.00169880808750975	12673.3333333333	0.00733164254367975	IP	+	UPF1-FLAG
IP_Upf1-FLAG	44	9106	0.00719054064084726	5030	0.0011306155403668	3197	0.00112584773129533	5777.66666666667	0.0031490013041698	IP	+	UPF1-FLAG
IP_Upf1-FLAG	45	4655	0.00367581448310389	3861	0.000867854195100636	2587	0.000911031617410388	3701	0.00181823343187164	IP	+	UPF1-FLAG
IP_Upf1-FLAG	46	3059	0.00241553523175398	2961	0.000665557179925663	1993	0.000701850024545382	2671	0.00126098081207501	IP	+	UPF1-FLAG
IP_Upf1-FLAG	47	1838	0.00145137422555208	2029	0.000456067381988912	1484	0.000522601824598769	1783.66666666667	0.000810014477379922	IP	+	UPF1-FLAG
IP_Upf1-FLAG	48	1478	0.00116710071021	1607	0.00036121255931798	1217	0.00042857575507864	1434	0.00065229634153554	IP	+	UPF1-FLAG
IP_Upf1-FLAG	49	1111	0.000877299654291819	1423	0.000319854058437764	1122	0.000395120786522789	1218.66666666667	0.000530758166417457	IP	+	UPF1-FLAG
IP_Upf1-FLAG	50	857	0.000676728896244905	1119	0.000251522622200884	853	0.000300390401875169	943	0.000409547306773652	IP	+	UPF1-FLAG
IP_Upf1-FLAG	51	683	0.000539330030496231	1246	0.000280068978786685	1004	0.000353566194000785	977.666666666667	0.000390988401094567	IP	+	UPF1-FLAG
IP_Upf1-FLAG	52	599	0.000472999543583078	1372	0.000308390560911182	1091	0.000384203902046669	1020.66666666667	0.000388531335513643	IP	+	UPF1-FLAG
IP_Upf1-FLAG	53	842	0.000664884166438985	2299	0.000516756486541404	1675	0.000589863919274217	1605.33333333333	0.000590501524084869	IP	+	UPF1-FLAG
IP_Upf1-FLAG	54	1205	0.000951526627742252	7922	0.00178066328246238	5406	0.0019037637896098	4844.33333333333	0.00154531789993814	IP	+	UPF1-FLAG
IP_Upf1-FLAG	55	1293	0.00102101570927032	10587	0.0023796872218416	7363	0.00259293614186034	6414.33333333333	0.00199787969099075	IP	+	UPF1-FLAG
IP_Upf1-FLAG	56	1148	0.000906516654479756	8496	0.00190968382325175	6380	0.00224676525669821	5341.33333333333	0.00168765524480991	IP	+	UPF1-FLAG
IP_Upf1-FLAG	57	1994	0.00157455941553365	10159	0.00228348375240284	8764	0.0030863088886682	6972.33333333333	0.00231478401886823	IP	+	UPF1-FLAG
IP_Upf1-FLAG	58	7286	0.00575338009106228	34085	0.00766143751359885	32140	0.0113183440987901	24503.6666666667	0.00824438723448373	IP	+	UPF1-FLAG
IP_Upf1-FLAG	59	7885	0.00622637963464536	34753	0.00781158685375095	24719	0.00870498281823246	22452.3333333333	0.00758098310220959	IP	+	UPF1-FLAG
IP_Upf1-FLAG	60	2859	0.00225760550100838	12651	0.00284362170997621	7088	0.00249609281183024	7532.66666666667	0.00253244000760494	IP	+	UPF1-FLAG
IP_Upf1-FLAG	61	2937	0.00231919809599917	14229	0.00319831580991633	11643	0.00410017051469237	9603	0.00320589480686929	IP	+	UPF1-FLAG
IP_Upf1-FLAG	62	3037	0.00239816296137197	15008	0.00337341511527333	9975	0.00351277169836437	9340	0.00309478325833656	IP	+	UPF1-FLAG
IP_Upf1-FLAG	63	1261	0.000995746952351021	5546	0.00124659916240045	2784	0.000980406657468311	3197	0.00107425092407326	IP	+	UPF1-FLAG
IP_Upf1-FLAG	64	576	0.000454837624547334	2127	0.000478095279196854	1248	0.00043949263955476	1317	0.000457475181099649	IP	+	UPF1-FLAG
IP_DE572AA-FLAG	15	6417	0.0019458733657029	14642	0.00320528326652559	6455	0.00206832025479911	9171.33333333333	0.00240649229567587	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	16	10186	0.00308877452127937	23030	0.00504150209179649	10772	0.00345157951738126	14662.6666666667	0.00386061871015237	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	17	6786	0.0020577679070687	16607	0.00363544182537839	7865	0.0025201144545306	10419.3333333333	0.00273777472899256	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	18	4910	0.00148889484581599	12415	0.00271777023315907	5668	0.00181614859863693	7664.33333333333	0.002007604559204	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	19	5400	0.00163748109315812	12892	0.00282219040240731	6002	0.00192316935233219	8098	0.00212761361596587	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	20	7907	0.00239769685251875	21517	0.00471029094699024	9222	0.00295492631909487	12882	0.00335430470620129	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	21	12661	0.00383928668897684	39541	0.0086559285372004	16533	0.00529752730791537	22911.6666666667	0.00593091417803087	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	22	13602	0.00412463293132162	42925	0.00939672068130111	19495	0.00624661554876974	25340.6666666667	0.00658932305379749	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	23	13061	0.00396058158476633	31354	0.00686371066375107	17521	0.00561410366914566	20645.3333333333	0.00547946530588769	IP	+	DE572AA-FLAG
IP_DE572AA-FLAG	24	20208	0.00612781813528505	36127	0.00790856908685766	22460	0.00719666505387886	26265	0.00707768409200719	IP	+	DE572AA-FLAG
