,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YGR250C_mRNA,107,147,110,72,69,55,5,26,24,79,110,95,0,3,6,6,0,7,1,0,0,0,0,0,9,9,25,8,12,4,28,0,8,0
YGR259C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR265W_mRNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR266W_mRNA,219,216,164,79,140,120,12,58,33,119,222,207,12,0,5,12.79,8,14,0,13,19,6,12,6,6,0,54,13,24,11,5,2,8,0
YGR269W_mRNA,1,2,0,3,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR270C-A_mRNA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR273C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR283C_mRNA,134,122,97,37,51,72,5,20,15,79,97,109,2,0,9.49,12.52,3,2,0,5,5,0,10,0,0,0,17,8,16,8,0,0,0,0
YGR290W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR291C_mRNA,3,7,5,3.5,1,2,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR293C_mRNA,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR296C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR296C-B_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGR234W_mRNA,12230,14238.99,11262,5320,7810,8553,414,2570,1949,10864,14765,12590,450,18,590,749,159,579,31,325,413.99,89,363,251,371,120,1435,488,895.18,408,521,20,247,6
YLR298C_mRNA,30,21,27,17,9,9,3,12,6,15,35,30,0,0,4,6,2,0,2,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0
YJL059W_mRNA,35,25,34,14,13,18,3,13,2,20,23,49,0,0,8,9,1,2,0,3,3,0,0,0,0,0,9,3,4,1,0,0,0,0
YHR029C_mRNA,128,109,79,56,72,45,5,28,23,54,118,83,8,0,16,21,5,6,0,4,6,2,0,0,0,0,29,8,21,13,9,0,1,0
YHR048W_mRNA,17,18,22,3,5,10,1,0,5,7,20,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YHL002C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL005C_mRNA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0
YHL006W-A_mRNA,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YHL008C_mRNA,15,12,11.77,0,3,5,1,4,3,11,13.98,18,0,0,8.05,8,0,6,0,3.95,4,0,3,0,0,0,9,4,6,2,0,0,0,0
YHL009W-B_pre-mRNA,7.4,9.35,5.38,2.68,0,0,0,0,0,5.37,3.71,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL012W_mRNA,0,0,0,0,3,2,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL015W-A_mRNA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL017W_mRNA,263,292,231,69,106,137,8,60,50,193,252,241,4,0,28,36,8,6,0,13,13,0,10,4,4,0,38,10,12,2,1,0,1,0
YHL018W_mRNA,30,26,6,14,24,11,1,2,1,27,52,38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
YHL019W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL026C_mRNA,14,14,26,9,16,15,3,3,3,18,13,12,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
YHL030W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL034W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL037C_mRNA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL041W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL042W_mRNA,5,1,4,5,4,5,0,0,0,5,10,10,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL044W_mRNA,11,8,3,2,9,3,0,3,1,3,15,14,11,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,4,0,0,0
YHL045W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL046W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL048C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL049C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL050C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL050C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHL050W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMR241W_mRNA,499,459,351,191,202,225,34,106,107,275,365,331,3,0,37.99,58.99,21,28,2,15,15,0,18,8,13,5,77,52,76.99,25,7,0,19,0
YDR451C_mRNA,110,73,71,83,52,66,5,27,17,42,72,72,11,0,17,17,0,8,0,4,4,0,22,14.06,14.03,0,21,7,11,4,16,0,0,0
YHR007C-A_mRNA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR020W_mRNA,2848,2952,2619,1115,1469,1476,204,538,514.91,1856,2766,2283.98,183,25,296,331,35,171,0,132,143,11,145,117.64,147.42,30,612,209.8,307.87,98,137,9,94,2
YHR022C_mRNA,23,11,6,3,20,20,0,2,0,12,19,22,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0
YHR022C-A_mRNA,0,1,0,2,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR028W-A_mRNA,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR032C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR032W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR033W_mRNA,26,4,5,11,25,25,0,1,0,6,9,10,6,0,4.11,4.11,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
YHR045W_mRNA,160,122,96,70,71,71,8,25,20,99,137,124,11,3,22,22,0,11,0,10,11,1,14,22,30,8,23,10,16,6,42,0,2,0
YHR049C-A_mRNA,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR050W-A_mRNA,99.02,72.13,36.2,2.77,22.66,43.73,0,23.64,15.47,24.03,55.43,30.36,0,0,0,0,0,7.18,0,0.02,0,0,0,0,0,0,0,0,0,0,1.76,0,1,0
YHR052W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR054C_mRNA,0,0,0,0,0,0,0,0.68,0,0,0,0,7,8,16.42,13.93,0,2.96,0,3,0.52,0,3,0,0,0,20.66,10.52,14.88,4.36,29.71,0,15,0
YHR054W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR056W-A_mRNA,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR063W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR069C-A_mRNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR070C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR071C-A_mRNA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR073C-B_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR073W-A_mRNA,27.13,10.4,33.33,4.01,11.53,15.05,4.22,2.4,1.66,24.75,27.27,10.65,0,0,0,0,0,0,0,3.7,3.39,0,0,0,0.92,1.22,9.61,0,0,0,0.33,0,0,0
YHR078W_mRNA,43,44,30,14,28,11,0,8,13,1,0,0,16,0,11,14,3,10,0,0,2,2,2,0,0,0,9,2,9,7,0,0,2,1
YHR080C_mRNA,32,24,22,12,12,23,2,4,5,17,24,23,0,0,3,3,0,0,0,5,5,0,0,0,0,0,8,1,1,0,0,0,0,0
YHR086W-A_mRNA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR095W_mRNA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR097C_mRNA,57,57,49,36,19,32,4,11,13,29,48,17.67,0,3,10,13,3,7,0,0,0,0,2,0,0,0,15,9,25,16,0,0,0,0
YHR097C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR112C_mRNA,112,161,118,86,87,108,5,32,16,136,152,139,10,0,13.01,16.01,3,21,0,7.02,8.02,1,16,0,0,0,51,14,19.98,6,12,0,8,0
YHR125W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR127W_mRNA,68,68,67,14,33,32,8,27,11,36,52,55,6,0,9,18,9,9,3,5,6,1,9,0,15,15,40,10,30,20,8,0,0,0
YHR130C_mRNA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR131C_mRNA,39,35,23,14,17,27,1,2,4,20,20,35,7,0,0,2,2,9,0,0,0,0,0,7,7,0,14,4,7,3,0,0,1,0
YHR131W-A_mRNA,3,2,2,1,0,2,0,1,0,4,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YHR137C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR138C_mRNA,72,46,45,24,30,32,5,8,9,32,56,39,0,0,5,8,3,1,0,0,0,0,0,0,0,0,19,7,7,0,1,0,6,0
YHR139C-A_mRNA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR140W_mRNA,11,3,3,2,3,7,1,0,0,6,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0
YHR145C_mRNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53
YHR165W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR173C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR175W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR177W_mRNA,19,21,11,5,9,11,1,3,3,15,12,18,3,0,0,0,0,0,5,0,0,0,0,0,7,7,7,4,4,0,0,0,0,0
YHR180C-B_mRNA,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR180W_mRNA,0,2,0,1,2,2,3,2,0,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0
YHR180W-A_mRNA,2.32,0,0,3.11,0,0,0,0,0,0,2.67,0,0,0,9.16,8.96,0,0,0,7.86,8.39,0,0,0,0,0,0,6.01,6.1,0,0,0,0,3.16
YHR182C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR182W_mRNA,47,57,34,19,23,16,2,11,13,38,35,35,0,0,10,10,0,1,0,0,1,1,0,0,0,0,4,0,3,3,0,0,5,0
YHR193C-A_mRNA,1,0,4,0,0,0,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YHR202W_mRNA,57,46,31,23,18,35,1,10,11,20,38,36,6,3,7,13,6,8,0,4,4,0,0,0,0,0,21,2,5,3,10,0,0,0
YHR210C_mRNA,10,8,5,2,4,8,0,0,0,8,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YHR212C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR212W-A_mRNA,0,1,0,2,2,0,0,0,0,4,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR213W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR213W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR213W-B_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR214C-B_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,1.01,3,0,0,3.04,2,0,0,0,0,0,0,0,0,0,0,4.05,4.04,0,0,0,0,0
YHR214C-D_mRNA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR214C-E_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR214W_mRNA,19,2.5,9.5,4,6.5,2.5,0,0,0,0,2.5,0,1,0,0,1.5,1.5,0,0,0,0,0,7,0,0,0,3,0,1,1,0,0,0,0
YHR214W-A_mRNA,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR217C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR218W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR218W_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR218W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR219C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR219W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL006W_mRNA,4,13,6,16,5,10,2,9,2,10,7,13,2,0,0,0,0,0,0,9,9,0,0,0,0,0,2,0,0,0,0,0,0,0
YNL263C_mRNA,266,260,249,120,163,132,17,63,61,178,227,223,25,0,38.03,43.04,5,42,9,17,22,5,19,0,10,10,72,21,24,3,10,0,18,0
YPL201C_mRNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR059C_mRNA,110,127,92,43,67,56,8,19,29,103,120,148,12,0,20,25,5,12,0,25.99,26,0,0,16,16,0,29,22,26,4,0,0,0,0
YIL001W_mRNA,56,50,46,17,25,18,2,9,8,25,40,38,3,4,0,0,0,6,6,0,0,0,0,0,0,0,9,3,5,2,7,0,2,0
YIL002W-A_mRNA,191,196,146,73,92,77,21,84,26,153,211,151,0,0,5,5,0,4,0,0,0,0,9,6,6,0,12,4,4,0,3,0,1,1
YIL012W_mRNA,0,1,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL014C-A_mRNA,4,2,2,3,0,0,0,0,1,0,1,8,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YIL020C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL021C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL024C_mRNA,1,4,4,0,1,0,0,0,0,1,2,5,0,0,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL025C_mRNA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL028W_mRNA,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0
YIL029C_mRNA,1,1,3,3,10,2,0,0,0,7,5,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YIL029W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL030W-A_mRNA,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL032C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL046W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL047C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,7.68,0,0,0,7.72,7.72,0,0,0,0,0,0,0,0,0.1,0,0,3.74,0
YIL054W_mRNA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL055C_mRNA,14,24,17,8,7,7,0,3,0,6,14,12,0,0,5,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
YIL058W_mRNA,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL059C_mRNA,24,8,7,19,19,18,5,2,2,5,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL060W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL066W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL067C_mRNA,64,73,57,29,43,29,0,13,12,49,71,57,5,0,14,14,0,6,0,4,5,1,2,0,0,0,24,12,15,3,0,0,0,0
YIL068W-A_mRNA,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL071W-A_mRNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL077C_mRNA,18,21,17,11,12,14,3,1,0,17,14,27,1,0,4,7,3,0,0,0,0,0,3,0,0,0,4,4,4,0,3,0,13,0
YIL082W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL082W-A_pre-mRNA,11.79,23.92,20.23,4.64,12.23,12.16,2,0,0,22.16,35.92,33.66,0,0,2,5.98,4,0,0,8,8,0,0,0,0,0,4,4,4,0,0,0,0,0
YIL086C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL089W_mRNA,36,33,16,14,15,32,0,0,2,20,41,41,0,0,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YIL092W_mRNA,14,15,21,11,7,16,0,0,4,15,13,19,3,0,1,1,0,7,0,0,0,0,9,0,0,0,9,1,1,0,2,0,0,0
YIL100C-A_mRNA,0,0,0,0,0,9.98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0
YIL100W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL102C_mRNA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL102C-A_mRNA,26,20,21,12,21,13,0,1,1,28,42,28,0,0,2,2,0,5,0,0,0,0,6,0,0,0,4,2,2,0,0,0,0,0
YIL105W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL108W_mRNA,274,233,167,114,146,131,13,60,49,141,264,182,31,0,62.99,83.99,21,19,2,47.97,48.98,1,29,7,16,9,66,43.99,81,37,17,0,0,0
YIL115W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL134C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL141W_mRNA,129.43,62.5,76.65,50.64,23.15,50.35,0,28.06,0,57.29,96.27,75.58,1.97,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0
YIL142C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL152W_mRNA,8,7,5,2,8,2,1,6,1,1,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YIL156W-A_mRNA,0,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL156W-B_mRNA,231,226.84,242,87,150,102,36,50,45,143,228,159,5,0,5,5,0,15,0,9,9,0,14,10,10,0,27,10,13,3,2,0,14,0
YIL156W-B_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL161W_mRNA,39,23,30,18,7,23,0,3,4,25,22,25,2,0,6,6,0,0,0,4,4,0,0,0,0,0,9,0,2,2,5,0,1,0
YIL163C_mRNA,0,5,5,2,4,1,0,0,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL165C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL166C_mRNA,4,7,6,4,6,4,0,2,0,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL167W,12,14,9,11,17,17,0,6,0,25,33,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
YIL169C_mRNA,2.7,0,0,0,0,1.22,0,1.21,0,1.17,2.25,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3.33,0,0,0,0,0
YIL170W_mRNA,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
YIL171W_mRNA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
