,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YLR204W_mRNA,27,22,23,19,12,5,4,3,7,9,4,24,0,0,4,4,0,10,0,0,0,0,1,13,13,0,17,7,14,7,0,0,0,0
YDL104C_mRNA,22,31,13,5,13,19,1,2,0,15,31,18,0,0,4,4,0,0,0,5,5,0,0,0,0,0,3,1,4,3,0,0,0,0
YPL022W_mRNA,62,50,63,31,46,46,2,11,10,41,60,71,7,0,14,17,3,6,0,0,0,0,0,0,0,0,8,1,1,0,0,0,7,0
YML095C_mRNA,53,49,59,37,36,55.9,2,6,2,44,58.91,49,0,0,2,2,0,8,0,1,1,0,0,0,0,0,3,0,0,0,3,0,4,0
YMR201C_mRNA,24,25,26,7,17,14,0,2,8,19,29,17,0,0,6,11,5,9,0,0,0,0,2,0,0,0,10,1,1,0,0,0,0,0
YMR201C_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR114W_mRNA,41,44,49,18,43,25,2,9,5,35,40,39,6,0,2.96,2.87,0,4,0,4,5,1,7,0,0,0,10,4,6,2,3,0,0,0
YOR368W_mRNA,29,32,27,20,27,17,0,8,3,22,24,20,0,0,2,2,0,3,0,6,6,0,1,0,0,0,3,2,5,3,11,0,1,0
YCR066W_mRNA,31,30,37,15,28,10,5,10,13,24,43,29,0,2,3,3,0,0,0,0,0,0,0,0,0,0,2,4,8,4,0,0,3,0
YGR258C_mRNA,57,66,29,18,26,35,2,15,14,53,56,39,4,0,17,17,0,6,0,0,0,0,0,0,0,0,18,3,5.02,2,0,0,0,0
YEL037C_mRNA,477,540,351,194,237,181,34,100,83,270,341,357,74,4,98.99,121.99,23,113,0,64,71,7,44,39,88,49,209,87,131,44,62,2,44,0
YER173W_mRNA,14,35,15,15,17,14,0,5,5,17,19,17,0,0,1,1,0,6,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
YJR035W_mRNA,44,59,48,24,42,32,4,16,3,38,76,56,0,5,8.27,8.32,0,0,0,2,2,0,0,0,0,0,15,6,11,5,5,0,0,0
YKL113C_mRNA,132,133,110,42,69,66,3,18,13,66,113,117,8,0,10.8,16.65,6,9,0,0,0,0,25,0,0,0,26,6.88,8.87,2,12,0,29,0
YDR030C_mRNA,8,15,4,8,7,12,0,3,8,9,13,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3,3,1,0,0,0
YER171W_mRNA,169,158,139,66,116,99,8,44,27,88,141,150,9,0,10,12,2,12,0,4,7,3,2,0,0,0,20,13,12.98,0,17,0,8,1
YDR419W_mRNA,49,39,39,19,19,35,2,7,10,30,47,42,3,0,4,4,0,9,0,1,1,0,0,15,22,7,19,2,2,0,12,0,1,0
YML011C_mRNA,22,15,5,6,11,11,3,3,2,12,11,20,1,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1,4,3,0,0,4,0
YDR314C_mRNA,14,23.82,24,10,18,15,0,4,2,8,18,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
YER162C_mRNA,30,26,24,17,10,14,0,7,6,15,27,31,4,0,2,3,1,0,0,11,11,0,10,0,0,0,3,1,5,4,0,0,0,0
YLR032W_mRNA,60,68,72,32,33,33,4,16,8,39,45,49,4,0,2,3,1,18,0,4,10.02,6,7,2,2,0,15,7,15,8,15,0,0,0
YNL250W_mRNA,79,112,97,41,62,57,7,13,16,80,92,91.04,0,3,10,10,0,5,0,6,7,1,0,0,0,0,23,9,9,0,0,0,0,0
YER095W_mRNA,182,203,162,55,121,87,16,42,22,143,167,183,16,0,35,41,6,29,0,19,19,0,18,0,12,12,60.99,26,35,9,26,0,0,0
YML032C_mRNA,31,37,39,36,21,17,6,5,3,37,35,38,7,0,10,17,7,10,0,9,9,0,6,2,15,13,19,2,5,3,1,0,20,0
YPL153C_mRNA,47,47,38,20,23,21,6,14,14,13,28,31,9,0,8,8,0,3,1,2,2,0,0,0,0,0,13,0,0,0,0,0,4,5
YGL163C_mRNA,39,63,31,14,36,33,4,14,13,16,35,33,2,0,10,10,0,2,0,5,5,0,12,1,1,0,29,7,14,7,1,0,0,0
YDR076W_mRNA,17,27,19,12,17,17,1,3,0,23,23,31,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,11,0,1,0
YDR004W_mRNA,50,41,22,25,24,31,0,2,10,27,39,54,0,0,2.02,7.07,5,10,0,0,0,0,7,0,0,0,10,6,9,3,0,0,0,0
YDL059C_mRNA,18,5,11,6,6,2,1,0,2,2,11,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
YGL058W_mRNA,90,92,52,35,38,38,3,19,17,57,71,65,7,0,19,20,1,2,0,5,5,0,17,0,0,0,24,6,23,17,2,0,4,0
YDR014W_mRNA,26,32,33,19,21,17,7,7,6,11,31,34,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
YJR052W_mRNA,41,65,46,24,22,18,1,10,6,36,32,27,4,0,4,5,1,3,0,0,0,0,6,0,0,0,8,2,2,0,0,0,0,0
YDR217C_mRNA,80,92,75,33,23,35,6,24,10,63,84,60,0,0,6,9,3,2,0,0,0,0,5,0,0,0,31,10,19,9,7,0,0,0
YGL246C_mRNA,69,95,65,22,50,49,2,23,16,78,77,81,3,0,9.93,15.98,6,14,0,3,3,0,0,0,11,11,28,8,16,8,4,0,14,0
YDL090C_mRNA,90,70,53,32,62,41,0,16,16,42,71,76,3,6,8,8,0,4,0,1,1,0,9,0,0,0,12,1,5,4,0,0,15,0
YKL019W_mRNA,162,193,141,87,103,89,8,52,41,106,184,182,3,0,16,17,1,15,3,6,8,2,0,0,0,0,36,12,18,6,11,0,0,0
YNL216W_mRNA,293,354,266,115,136,126,17,67,69,167,230,212,19,6,31,36,5,34,0,12,13,1,29,23,34,11,54,29,49,20,22,0,19,0
YOR101W_mRNA,252,338,251,100,153,140,16,63,44,217,304,261,21,0,37,43,6,29,0,19,21,2,17,0,8,8,67,11,25,14,20,0,12,0
YNL098C_mRNA,460,400,410.99,187,220,235,24,122,64,239,338,309,33,0,50.99,66.93,16,55,3,10,12,2,19,22.85,45.92,23,89,22,35,13,103,0,6,0
YOR048C_mRNA,309,332,287,103,162,164,23,91,40,163,300,229,35,6,38,50,12,34,0,6,6,0,25,15,21,6,84,26,44,18,41,10,5,0
YJR033C_mRNA,131,143,110,47,67,65,9,38,25,89,107,106,5,1,17,20,3,15,3,14,16,2,28,4,4,0,20,4,9,5,14,0,9,0
YDR202C_mRNA,56,49,46,17,27,32,3,8,7,24,54,43,5,0,5,5,0,4,0,0,0,0,4,0,0,0,15,11,11,0,0,0,0,1
YOR301W_mRNA,187,193,206,82,80,79,9,46.96,37.99,127,165,199,10,2,21,29,8,19,3,3,3.01,0,9.12,0,0,0,62.04,8,14,6,31,1,9,6
YLR084C_mRNA,348,376,333,98,186,149,17,90,68,226,324,297,7,0,23,26,3,9,0,28,32.99,5,14,1,8.98,8,52,28,43,15,8,0,17,0
YDR527W_mRNA,164.84,198,228,85,107,111,10,63.28,31,132,223,160,3,0,11.01,11.02,0,4,0,3,3,0,10,4.01,12.03,8,29,7,15,8,6,0,0,0
YPL246C_mRNA,372,330,257,119,174,164.98,25,78,76,213,271,274,44,1,33,64.01,31,41,0,25,25,0,22,4,25,21,97,52,87,35,9,3,2,0
