,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YOR185C_mRNA,1342,4978.7,2739.39,4061.01,3014,3034,1326,923.81,3811.79,3864.03,3264.01,2277,1566,2548,2430,2864.86,2030,1688,1781,2267,1996,2478
YFR015C_mRNA,3829.09,8546.93,8921.69,6700.49,8800,4108.01,3585.01,1421,8203.99,7973,7904,5536,3310,5111,5074.36,7573,3785.01,3185,3410,4645.16,5523,6559
YLR258W_mRNA,6645.98,17925.75,15007.85,14125.76,16274.85,8986.39,6673.96,3197.74,19717.08,19331.88,15657.03,12981,8848,14617.27,16223.55,19230.9,8996.98,7620,8382.05,15091.1,16457.77,17886.99
YDR221W_mRNA,5967.99,18427.24,12136.92,14985.49,16329.71,12469.09,7059.03,4586.99,20025,18901,17535.93,16042.91,11678.33,14958.98,17160.04,18427.61,17464.14,13578.07,16769,19613,18968.57,20280.38
YGR102C_mRNA,1794,4461,3229.01,3855.05,4876,3971.86,2148.83,1587,6011.18,5265.98,4034,3757,2297,3731,3336,4880,3996.39,3053,3570.96,3374,3915.01,4575
YGR154C_mRNA,1272,2705,2386,2233,2949,1432,1336,623,5513.79,5069,2976,2640,2242,4389,4295.88,5355,2189.07,1646,1772,4217.61,5415.99,5872
YMR251W_mRNA,142,173.9,184,148.98,393,86.99,98,14,453.95,550,415,208,491.97,421,594,602,617.73,425,537.01,838,867,799
YML121W_mRNA,3186,6722.82,5290,5847,9423.74,6082,4502.8,2606,10097.89,8647.85,4103,4513,2605,3599,4335.2,5081,5170,4024.03,4501.02,4053.99,4422,5076.37
YGR163W_mRNA,3353.14,8283.84,6413.9,6919.79,9488.17,6750.87,4295.93,2732.94,8877.76,8256.35,3999,3959,2862,3605,3137.84,4497.07,6044,4635,5357.53,3143.93,3657,4219
YGL181W_mRNA,3712.99,8483.01,6811,7008.47,10160.88,7088.56,4569.55,2567,10033.33,9662.08,7102,6451.33,4530.36,4408.78,5654.56,6016.32,6653.57,5872.85,7009,6240.91,6045.37,6980.53
YIR038C_mRNA,1787.64,6278.45,3658.06,5379,5039.59,5236,2242.11,1857,5969,6043,3465.59,3124.48,2183,2893,3127.07,4442,2858,2581.01,2687,2941,3726,4201
YLL060C_mRNA,1402,3525.13,2909.51,2636.07,2741,1083,1292,413,5024.96,5039,5664.03,4615,3987,6411,8436.47,9379,3165,2765,3118,8625,9862.26,10175.31
YEL017W_mRNA,1792.01,3692,3299.16,3175,5224.96,3801,2247,1203,4456.85,4860,9124.87,7798.98,5574,4603.07,6526,6028,9511.49,8095,9440.9,7947,8323,7326
YMR217W_mRNA,29026.69,101752.09,61655.06,84704.22,100896.15,110009.78,48076.57,40942.43,86945.25,89302.98,97739.86,107876.33,77152.68,71667.56,75142.67,92176.53,158514.01,125078.27,150268.15,86748.24,97445.89,105774.2
YDL238C_mRNA,1767.81,3025,3648.17,2383,5097.01,2071.92,2310,719,6086.12,5941.31,5077.96,4047,2727.99,4087,4626,5560,3698.27,2883,3350,4092,4646,5435
YLR289W_mRNA,2767,4930.27,4694,4185.76,7168.04,3842,3365,1492,8677.2,7608,3564,3090,2364,2892,3007,4570.74,4184,3226,3753.82,3614,2869,4206
YDR454C_mRNA,6573.98,25248.87,14986.39,20477.92,24352.01,28628.03,11970.66,11247,23338.63,21218.71,19187.08,21425,14975.95,14227,14801.99,19234.51,29760.72,21833.45,26065.8,16925.02,18785.07,22849.65
YGL084C_mRNA,3828,10600.66,7588,8941.45,11240.83,9067.23,5319.96,3192.19,11123.99,10487.84,12058.99,10438,7559.12,8164,8808.76,10083,17414.03,13156,15745,10001,10902.01,10865.97
YPL189W_mRNA,473,640.67,675,541,1618,744.79,843,344,1941.73,1555,1520,1482,789,1527,1504,2069,1651.38,1228,1542,1145,1800,2154
YGL245W_mRNA,51495.79,195600.07,106542.99,162883.09,168293.61,191837.94,76507.19,66062.89,157221.88,160694.01,137053.51,137921.5,98667.53,96327.58,98534.88,120367.2,186391.77,148854.85,181415.63,107038.96,122513.35,125465.45
