,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YGR101W_mRNA,52.31,36.34,52.06,35.79,47.64,29.38,50.86,35.23,51.41,47.92,37.85,43.33,38.9,45.89,43.3,40.62,39.68,40.3,39.72,38.87,37.74,39.75
YBR222C_mRNA,39.44,32.31,39.13,31.22,41.07,29.79,37.37,31.54,40,40.22,79.78,66.47,64.38,83.08,88.51,88.7,65.64,67.6,70.02,82.8,83.6,81.28
YGR202C_mRNA,60.19,34.79,48.75,37.32,61.36,36.84,54.46,33.43,61.06,59.24,93.12,81.94,77.43,103.92,96.13,105.2,89.29,86.7,92.2,102.85,101.68,100.59
YER178W_mRNA,339.66,439.45,433.55,405.95,388.25,433.43,435.55,476.01,375.5,380.86,326.77,373.39,358.38,359.59,324.27,368.39,349.13,342.86,347.66,354.18,333.13,375.35
YBR221C_mRNA,233.91,285.68,272.37,280.16,235.76,260.86,250.95,270.98,251.41,245.95,234.1,245.96,236.1,270.48,237.8,255.5,242.23,232.94,231.5,253.27,242.22,244.17
YLR044C_mRNA,9498.99,12881.56,11875.45,13057.35,10074.62,12346.06,10489.97,11749.44,9661.87,11302.65,12173.35,12584.22,13574.38,11867.32,11753.89,11593.26,12069.54,12482.59,12436.96,12082.12,12761.8,11639.6
YDR081C_mRNA,27.77,17.53,25.23,18.08,28.02,15.95,27.37,16.28,30,26.8,41.59,34.53,33.34,39.22,38.56,41.97,44.03,43.04,42.97,43.64,39.07,38.29
YLR134W_mRNA,18.7,15.09,18.91,16.07,14.18,9.76,12.94,8.56,18.26,18.06,21.62,19.8,19.7,28.81,26.45,26.74,13.8,13.92,14.29,26.13,24.41,24.81
YGR087C_mRNA,1.4,0.66,1.05,0.58,0.86,0.33,0.85,0.25,1.23,1.18,1.32,1.16,0.64,1.09,0.63,0.93,0.66,0.7,0.57,1.02,1.03,1.2
YGL248W_mRNA,69.42,40.14,63.11,39.19,60.6,32.01,70.02,33.99,81.45,72.48,80.51,74.9,66.22,100.87,95.75,99.8,72.8,71.16,68.69,81.41,86.2,79.52
YOR360C_mRNA,77.42,52.21,67.96,50.04,84.94,49.97,91.38,54.54,93.55,73.55,74.25,62.04,45.29,73.59,60.14,80.44,92.33,87.23,89.09,60.64,57.87,64.69
YPR002W_mRNA,18.12,12.82,21.98,10.42,7.68,3.36,8.61,3.42,32.47,27.2,13.54,9.22,8.17,26.33,21.94,28.91,7.47,7.01,7.03,18.01,22.02,22.58
YCL043C_mRNA,562.02,542.95,546.58,541.5,527.01,508.04,471.59,516.13,465.8,554.72,977.86,974.2,957.97,856.15,910.36,879.53,726.24,836.88,844.86,992.12,1005.39,882.01
YLR455W_mRNA,67.96,31.41,48.17,32.91,55.59,33.58,58.39,37.73,59.77,49.84,52.94,40.12,39.58,55.83,52.06,52.74,58.28,51.18,49.56,42.92,44.55,49.37
YGL013C_mRNA,34.06,26.56,32.18,26.87,31.79,22.92,32.23,23.84,34.97,32.31,51.81,47.87,42.28,62.42,48.03,56.13,50.85,46.45,48.26,47.32,52.62,51.39
YOR328W_mRNA,14.84,10.77,14.14,10.82,13.15,7.74,14.5,9.35,21.71,18.8,15.41,14.5,14.3,30.35,25.18,28.35,9.16,9.5,8.63,27.73,25.15,28.31
YIL013C_mRNA,4.11,2.78,3.85,2.78,3.33,1.36,3,1.44,4.55,4.45,9.18,8.36,7.75,15.05,12.84,13.51,6.34,6.34,6.02,11.91,12.92,12.77
YPL058C_mRNA,86.87,54.67,76.66,58.19,82.82,54.34,83.7,51.29,99.89,89.19,76.27,104.92,93.13,97.01,99.64,102.67,69.73,72.14,75.65,104.85,100.84,94.19
YDR406W_mRNA,16.06,11.08,16.4,10.65,13.46,7.57,15.36,8.25,20.1,17.6,22.2,16.69,15.92,30.67,28.41,32.94,12.14,12.35,12.22,29.23,26.22,29.27
YNL231C_mRNA,139.83,80.5,117.7,79.5,135.96,78.24,151.42,87.52,138.74,125.91,169.98,119.54,111.05,163.98,141.01,155.11,165.75,156.64,153.19,133.96,138.09,144.52
YNL264C_mRNA,44.62,41.44,46.63,40.15,48.25,37.02,49.93,43.27,51.41,47.28,65.5,59.48,59.28,68.52,63.96,73.65,67.59,64.73,62.54,65.64,67.3,66.87
YNR070W_mRNA,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0.01
YBL005W_mRNA,11.56,8.27,11.59,8.43,12.62,8.01,13.9,8.69,15.31,13.04,34.46,26.84,24.16,47.62,38.7,43.86,28.13,26.27,27.36,38.51,39.65,37.71
YOR153W_mRNA,199.72,182.19,216.71,168.71,231.6,204.35,259.71,210.78,243.2,229.99,791.11,218.23,212.97,589.89,521.6,549.85,556.56,575.1,565.83,578.34,581.49,558
YLR266C_mRNA,25.22,18.81,23.93,18.28,22.9,13.1,23.94,14.73,33.78,28.81,18.13,18.82,17.35,44.99,28.47,33.49,16.28,15.42,15.72,28.29,26.4,33.34
YDR113C_mRNA,47.08,23.18,39,25.06,45.39,23.72,48.45,24.48,45.19,41.64,60.8,50.4,45.45,46.39,49.45,50.08,64.59,56.99,56.51,48.61,51.49,44.66
YMR076C_mRNA,32.81,23.71,27.71,24.18,28.79,20.92,29.38,22.19,32.73,28.06,29.79,27.57,23.49,31.35,27.11,31.13,34.87,31.55,32.6,26.61,25.65,29.11
YGR193C_mRNA,85.58,69.37,86.03,68.91,80.82,66.14,88.95,70.95,93.66,86.39,95.43,86.95,79.58,97.64,88.39,98.6,104.76,99.15,96.03,82.44,87.85,85.59
YBR035C_mRNA,108.4,110.4,125.26,105.84,115.33,110.66,136.89,130.79,127.42,112.73,120.28,121.97,118.84,150.99,143.55,151.37,132.81,128.95,133.41,145.49,129.44,137.73
YER149C_mRNA,33.29,30.15,33.26,30.03,34.76,29.87,38.59,32.68,37.5,34.41,39.38,39.77,34.64,48.19,37.23,36.37,49.92,46.49,46.71,35.24,40.59,39.71
YGR058W_mRNA,27.36,16.1,22.22,15.75,24.08,13.58,24.7,16.04,26.07,25.51,48.43,34.7,35.94,40.8,40.44,43.85,43.21,42.82,38.81,42.43,40.74,39.38
YBL017C_mRNA,94.98,77.73,95.6,77.88,88.4,65.78,98.06,72.54,103.64,92.51,101.18,96.47,85.05,142.24,120.11,138.92,83.45,82.18,83.47,121.4,115.54,123.08
YOR036W_mRNA,44.93,21.43,37.34,22.51,41.34,21.02,44.74,21.52,47.57,43.79,37.2,42.22,35.82,38.92,35.86,45.13,38.95,34.59,33.29,35.45,32.52,32.54
YLR148W_mRNA,37.22,24.87,33.28,25.16,36.75,22.14,39.52,24.57,44.4,36.54,27.94,27.54,22.24,35.22,24.59,30.5,32.23,29.44,29.1,26.18,28.42,26.8
YPL154C_mRNA,233.78,245.46,245.68,240.83,228.32,222.01,210.88,222.79,229.95,234.67,173.46,174.38,172.26,197.57,187.37,207.67,154.9,158,160.23,174.49,163.64,195.51
YMR231W_mRNA,30.28,21.59,30.17,21.34,32.14,20.8,31.56,21.45,35.56,31.56,36.47,33.2,29.46,36.34,36.96,35.56,37.23,35.83,35.4,36.29,31.99,32.19
YDR323C_mRNA,23.04,11.05,19.36,10.52,20.95,8.39,22.24,8.98,25.3,22.2,16.12,14.69,10.76,14.92,15.62,16.13,15.59,14.32,15.03,14.26,13.77,16.1
YJL053W_mRNA,45.24,32.61,46.57,31.66,47.19,28.58,51.75,32.3,54.23,47.3,59.91,51.47,48.51,64.76,52.76,57.05,53.84,50.33,48.3,55.08,48.76,52.87
YCR044C_mRNA,44.15,48.94,50.71,47.05,49.19,42.46,49.35,42.1,53.3,50.51,49.58,48.61,48.94,56.67,54.96,48.05,55.66,51.79,49.84,49.9,53.21,49.83
YLR064W_mRNA,59.82,43.72,52.44,46.67,66.01,42.43,53.53,35.91,69.43,64.4,117.2,101.75,83.87,137.91,108.51,117.38,131.05,124.33,119.91,108.99,122.87,101.88
