,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YNL084C_mRNA,36.92,182.04,34.59,232.52,52.89,268.6,34.4,51.68,50.77,40.67,203.53,21.4,226.1,23.23,210.84,14.95,157.15,19.58,18.81,16.2,49.11,224.51,0,0,0,36.18,0,91.67,359.05
YGR254W_mRNA,816.69,878.22,824.88,792.19,771.67,729.67,1369.6,1390.5,1607.27,919.19,842.85,947.22,972.78,1090.27,919.55,1168.76,1392.96,965.54,840.25,443.1,1178.37,1534.81,888.99,721.27,214.13,1334.78,0,1293.17,226.12
YHR174W_mRNA,25182.74,22341.72,26995.12,19131.53,27598.2,18540.57,25648.88,24689.05,27270.26,25005.67,19350.18,25819.96,21196.66,27507.84,21690.55,18534.1,17968.42,21817.23,19924.83,13563.99,19408.94,27971.97,17899.81,16173.95,9300.57,15809.37,15999.9,14346.08,17028.61
YBR247C_mRNA,222.63,74.27,225.25,129.11,250.96,108.58,237.64,207.34,245.15,236.3,150.11,236.85,79.94,189.06,88.12,113.56,76.79,212.87,226.33,269.56,127.92,83.22,160.54,145.14,84.98,26.18,0,165.81,213.44
YGR145W_mRNA,69.22,51.5,78.07,75.64,77.04,49.52,61,56.68,64.9,81.83,103.15,78.02,97.57,77.96,90.25,52.88,69.47,176.35,166.35,132.24,85.53,36.19,179.64,155.84,63.92,0,0,16.63,160.32
YDL161W_mRNA,17.1,65.88,27.99,92.31,31.12,147.56,27.75,24.8,22.63,29.79,154.68,5.35,103.7,38.72,124.7,24.92,183.13,0,0,0,40.94,171.73,0,0,0,0,212.83,0,87.9
YLR206W_mRNA,40.75,124.42,27.94,172.87,23.63,125.11,28.52,30.19,15.86,20.88,151.98,20,158.5,21.49,151.83,17.47,170.32,43.01,33.06,0,43.04,211.96,18.53,14.66,0,10.57,82.7,44.63,430.38
YJR125C_mRNA,22.66,167.47,50.58,128.35,32.93,192.74,46.99,59.83,47.82,26.09,170.96,29.54,123.1,35.64,91.88,44.72,329.18,58.61,45.05,0,94.94,346.09,131.14,103.75,0,33.31,705.65,14.06,174.87
YLL038C_mRNA,20.28,48.99,31.43,44.29,21.14,19.95,53.47,55.14,52.51,21.32,76.69,52.87,74.26,43.05,61.82,13.85,35.92,0,0,0,24.27,37.56,0,0,0,22.35,0,0,0
YDR153C_mRNA,44.76,53.07,30.74,86.95,19.58,112.57,40.98,32.2,26.75,34.14,85.3,34.12,81.22,11.37,55.81,34.5,121.59,8.23,25.29,81.57,49.46,127.15,0,10.52,49.29,151.83,23.81,76.94,247.83
YLR065C_mRNA,37.16,28.87,51.6,52.19,42.26,39.18,44.22,55.31,74.84,37.95,40.34,50.38,84.14,42.07,121.41,27.07,35.27,61.74,61.02,58.68,53.37,11.06,0,0,0,0,0,0,0
YGR071C_mRNA,10.61,20.37,9.21,19.95,10.72,6.91,7.65,8.1,12.21,11.15,24.67,11.06,5.94,6.67,14.28,4.83,12.44,8.47,6.51,0,4.23,2.6,47.93,37.93,0,0,0,0,0
YPL236C_mRNA,3.71,35.75,12.88,0,4.22,14.56,17.06,12.04,17.08,15.6,11.99,11.61,0,15.75,0,6.76,2.18,31,23.83,0,31.08,0,0,0,0,0,0,0,0
YOR246C_mRNA,45.15,61.02,61.57,78.79,65.04,94.66,81.81,74.1,92.24,62.38,43.85,82.4,40.65,44.73,67.22,82.24,74.55,16.15,24.82,53.48,43.23,66.82,121.78,96.34,0,0,0,0,93.04
YNL080C_mRNA,37.01,21.4,37.63,12.9,36.48,24.21,29.03,28.25,31.95,28.91,31.91,44.39,12.48,24.45,20.01,23.6,15.26,26.51,20.38,0,8.86,27.35,114.25,90.39,0,16.32,0,0,0
YFL024C_mRNA,14.58,14,12.65,18.98,7.6,16.62,12.32,11.82,7.87,7.66,39.12,14.25,32.64,6.88,24.53,16.6,38.48,4.37,10.1,28.78,26.17,13.41,9.07,14.37,26.08,16.07,0,0,74.7
