,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YOR031W,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR032W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR034C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR041C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR050C_mRNA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR053W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR055W_mRNA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR062C_mRNA,6,0,19,3,12,2,9,9,11,4,1,2,0,4,6,11,0,0,0,0,7,2,0,0,0,0,0,0,4
YOR072W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR072W-A_mRNA,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR072W-B_mRNA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,11.51,0,0,0,0,0,0,0,0,0
YOR073W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR082C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR093C_mRNA,6,7,68,3,44,6,49,70,51,65,6,43,12,31,9,9,15,11,26,15,21,5,4,7,3,2,0,6,0
YOR097C_mRNA,2,1,9,2,8,1,5,11,15,6,4,1,2,4,1,3,5,3,3,0,1,0,5,5,0,0,0,0,0
YGR281W_mRNA,55,1,161,12,97,10,177,276,183,192,27,105,15,130,12,24,4,22,25,3,17,4,12,12,0,27,0,0,0
YOR102W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR105W_mRNA,0,0.81,1.47,0,0.57,0,3.96,3.51,0,3.48,0,7.91,0,0,0,0,0,1.9,1.9,0,0,0,0,0,0,0,0,0,0
YOR108C-A_mRNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR111W_mRNA,2,0,9,0,7,4,13,18,10,9,2,9,1,8,4,9,1,2,2,0,0,3,0,0,0,0,0,0,0
YOR114W_mRNA,2,0,8,0,5,1,10,14,8,4,0,7,0,5,0,2,2,8,8,0,0,3,4,4,0,0,0,0,0
YOR121C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR131C_mRNA,10,4,48,24,31,18,36,56,44,38,18,10,12,26,12,11,41,6,13,7,5,4,1,1,0,0,0,0,16
YOR139C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR142W-B_pre-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR146W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR152C_mRNA,1,0,9,0,10,0,9,11,4,4,1,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR161C-C_mRNA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR161W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR161W-B_mRNA,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR169C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR170W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR186C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR186W_mRNA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR192C-B_pre-mRNA,0,3.8,32.6,1.8,12.79,0,29.28,70.16,0,39.38,7.33,40.76,19.5,8.35,33,0,0,0,0.37,0.25,0,0,0,0,0,0,0,0,0
YOR192C-C_mRNA,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR199W_mRNA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR200W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR203W_mRNA,0,0,0,0,0,0,1.82,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR218C_mRNA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR225W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR231C-A_mRNA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR238W_mRNA,7,1,26,5,13,2,15,39,16,10,5,13,4,7,5,4,6,0,0,0,11,0,0,4,4,0,0,0,0
YOR248W_mRNA,24.73,0,271.08,0,205.23,0,214.1,302.7,138.65,155.45,0,218.76,0,169.15,0,538.85,0,585.51,774.3,189.43,236.35,0,157.85,231.76,73.77,119.26,0,49.61,0
YOR263C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR268C_mRNA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
