,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YPR141C_mRNA,2.99,27.58,10.56,14.5,8.37,13.35,6.54,7.83,6.9,15.57,24.69,11.22,26.58,10.58,25.14,6.74,21.89,12.34,12.28,12.01,10.28,2.62,0,0,0,43,0,0,0
YCL055W_mRNA,36.5,49.36,30.09,41.5,26.14,13.65,27.46,25.97,36,29.05,32.46,28.94,38.82,14.36,28.04,24.69,52.9,7.18,8.31,12.23,27.9,21.44,0,0,0,25.02,0,96.64,152.4
YMR065W_mRNA,0,0,1.46,0,0,3.08,1.13,2.01,4.18,0.6,2.45,0,0,1.95,3.17,1.87,0,0,0,0,0,10.9,0,0,0,0,0,0,0
YPL269W_mRNA,0,0,5.19,1.64,5.06,5.05,2.78,6.24,4.4,1.96,2,6.78,2.15,2.4,5.19,3.06,0,4.01,3.09,0,9.71,0,0,0,0,0,0,0,0
YCL024W_mRNA,14.07,27.45,22.44,18.88,15.77,27.37,15.4,18.06,22.49,19.42,30.64,23.3,32.98,10.73,23.16,17.57,20.16,16.67,14.85,8.7,11.17,17.07,20.79,16.64,0,4.45,92.18,0,47.19
YJR054W_mRNA,20.93,19.36,5.92,14.24,10.17,9.37,13.17,14.62,12.08,15.75,12.38,9.43,7.99,3.95,12.83,9.44,11.17,4.95,7.64,16.83,14.4,18.39,0,0,0,0,0,0,0
YDR017C_mRNA,18.19,12.33,23.69,24.89,16.79,31.83,19.32,21.59,16.37,22.61,23.97,24.64,24.45,26.78,19.62,18.33,39.15,8.87,14.68,34.42,33.12,22.5,41.1,32.89,0,0,18.22,26.44,0
YKL161C_mRNA,25.89,38.12,16.63,27.47,18.46,10.54,30.91,32.88,29.89,26.57,52.92,23.57,29.98,20,46.92,25.47,17.28,16.68,17.17,18.93,24.29,33.12,0,0,0,0,382.18,0,73.56
YFR042W_mRNA,24.91,23.22,15.26,9.76,22.34,7.49,23.17,22.24,24.45,31.73,11.88,22.45,6.39,21.17,7.7,49.43,20.1,23.42,18.08,0,17.14,17.66,0,0,0,348.29,0,0,0
YDR367W_mRNA,79.38,23.13,49.98,19.45,83.42,37.3,51.58,62.58,77.34,63.19,29.58,134.16,19.1,77.31,53.65,62.65,16.68,64.13,76.51,119.71,119.48,70.33,0,0,0,20.4,0,175.17,0
YDR367W_pre-mRNA,0,0,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR158C_mRNA,24.3,73.93,23.58,55.57,20.7,83.83,18.88,18.11,22.44,18.85,61.88,23.85,66.61,12.85,46.03,14.03,71.11,32.3,29.37,19.54,36.78,45.98,33.61,29.89,14.93,4,0,20.59,0
